scenario,seed,humanRequests,humanContacts,chatbot,noResponse
No chatbot,1,54.96264674493063,34.738527214514406,0,65.2614727854856
No chatbot,2,54.34036292300147,34.62481608631682,0,65.37518391368317
No chatbot,3,55.566265060240966,36.3855421686747,0,63.6144578313253
No chatbot,4,55.98674869853289,37.43492664458116,0,62.56507335541884
No chatbot,5,49.52153110047847,32.822966507177036,0,67.17703349282297
No chatbot,6,53.05,35.65,0,64.35
No chatbot,7,52.41345685031692,35.68990736226231,0,64.31009263773768
No chatbot,8,54.16012558869702,37.467294610151754,0,62.532705389848246
No chatbot,9,54.26621160409557,36.323744514870796,0,63.676255485129204
No chatbot,10,57.261410788381745,36.773858921161825,0,63.226141078838175
No chatbot,11,53.50125944584383,34.15617128463476,0,65.84382871536523
No chatbot,12,53.18039624608968,34.46298227320125,0,65.53701772679875
No chatbot,13,52.12375458835868,34.24226533822758,0,65.75773466177242
No chatbot,14,54.48441247002398,33.621103117505996,0,66.378896882494
No chatbot,15,55.393311351860575,35.13895430993877,0,64.86104569006123
No chatbot,16,54.4390243902439,34.390243902439025,0,65.60975609756098
No chatbot,17,52.685546875,33.447265625,0,66.552734375
No chatbot,18,52.70612038442084,34.64845725847243,0,65.35154274152757
No chatbot,19,55.26445872466634,35.6401384083045,0,64.3598615916955
No chatbot,20,55.46915500259202,37.58424053913945,0,62.41575946086055
No chatbot,21,54.878652798415054,35.11639425458148,0,64.88360574541852
No chatbot,22,53.98089171974522,34.87261146496815,0,65.12738853503184
No chatbot,23,52.04855842185129,34.85078401618614,0,65.14921598381386
No chatbot,24,54.870288790993634,35.242290748898675,0,64.75770925110132
No chatbot,25,52.50501002004008,33.21643286573146,0,66.78356713426854
No chatbot,26,54.193231976459046,35.94899460519863,0,64.05100539480138
No chatbot,27,51.39400315623356,31.772751183587584,0,68.22724881641241
No chatbot,28,55.650857719475276,34.71241170534813,0,65.28758829465187
No chatbot,29,54.99760879961741,35.676709708273556,0,64.32329029172645
No chatbot,30,52.97709923664122,34.096692111959285,0,65.90330788804071
No chatbot,31,54.876200101061144,36.12935826174836,0,63.87064173825164
No chatbot,32,55.93047034764826,36.96319018404908,0,63.03680981595092
No chatbot,33,56.48780487804878,37.170731707317074,0,62.829268292682926
No chatbot,34,55.00234852043213,35.13386566463128,0,64.86613433536871
No chatbot,35,54.10821643286573,34.21843687374749,0,65.78156312625251
No chatbot,36,53.793774319066145,35.262645914396884,0,64.73735408560312
No chatbot,37,54.85537190082645,35.22727272727273,0,64.77272727272727
No chatbot,38,55.30417295123178,34.94218200100553,0,65.05781799899447
No chatbot,39,56.21272365805169,35.586481113320076,0,64.41351888667992
No chatbot,40,56.56768998490186,35.53095118268747,0,64.46904881731253
No chatbot,41,56.69797330696985,36.5793376173999,0,63.4206623826001
No chatbot,42,54.8469387755102,38.06122448979592,0,61.93877551020408
No chatbot,43,55.91191957874581,36.90761129727142,0,63.09238870272858
No chatbot,44,52.78772378516624,35.60102301790281,0,64.39897698209718
No chatbot,45,55.33736153071501,35.24672708962739,0,64.7532729103726
No chatbot,46,56.3049853372434,37.04789833822092,0,62.95210166177908
No chatbot,47,53.02874743326489,31.82751540041068,0,68.17248459958932
No chatbot,48,57.1356783919598,36.381909547738694,0,63.618090452261306
No chatbot,49,57.22921914357683,37.27959697732997,0,62.72040302267003
No chatbot,50,54.257528556593975,34.57943925233645,0,65.42056074766356
